Username,Rank,Title,Artist,Genre,Album,Number of Plays
EzI6psdcyE,8,The World We Knew (Over and Over),Frank Sinatra,Jazz,The World We Knew,200
ewMPQm7LCw,1,You're the Inspiration,Chicago,Rock,Chicago 17,50
RDXRSUA19I,10,See You Again,Tyler the Creator Ft Kali Uchis,Rap,Flower Boy,109
6ue4Mbvoft,10,m.A.D.D city,Kendrick Lamar| MC Eiht,Rap,Good Kid| M.A.D.D City,500
RDXRSUA19I,9,She,Tyler the creator,Rap,Goblin,106
EzI6psdcyE,3,Feel Good Inc.,Gorillaz| De La Soul,Rock,Demon Days,150
ewMPQm7LCw,2,Carry on Wayward Son,Kansas,Rock,Leftoverture,40
RDXRSUA19I,8,Pink + White,Frank Ocean,Pop,Blonde,71
EzI6psdcyE,2,On Melancholy Hill,Gorillaz,Pop,Plastic Beach,400
8AxIDcHePL,1,Poke the GOAT,Gideon,Pop,n/a,100
6ue4Mbvoft,9,Fall in Line,Yung Rare| Kxng,Rap,Fall in Line,700
ewMPQm7LCw,3,あの夢をなぞって,Yoasobi,Pop,The Book,75
RDXRSUA19I,7,Above the Chinese Restaurant,Laufey,Alternative,Everything I know about love,80
6ue4Mbvoft,8,Moshi Moshi,Yung Rare| Pyrxciter| Young zetton,Rap,Moshi Moshi,600
EzI6psdcyE,9,Alien Blues,Vundabar,Rock,Gawk,100
RDXRSUA19I,6,Circles,Pierce the Veil,Rock,Misadventures,80
ewMPQm7LCw,4,Piano Man,Billy Joel,Pop,Piano Man,50
EzI6psdcyE,1,Unsainted,Slipknot,Metal,We Are Not Your Kind,500
RDXRSUA19I,5,Bulls in the Bronx,Pierce the Veil,Rock,Collide With the Sky,80
sIpTXaxH0i,2,Ghost Town,Kanye West,RNB,YE,300
EzI6psdcyE,4,Nero Forte,Slipknot,Metal,We Are Not Your Kind,300
6ue4Mbvoft,7,I duckinf hatw you,Ghostemane| Parv0,Metal,the EP,600
ewMPQm7LCw,5,The Longest Time,Billy Joel,Pop,An Innocent Man,60
RDXRSUA19I,5,Decode,Paramore,Alternative,Twilight motion Picture Sound track (Paramore)),60
6ue4Mbvoft,6,My Axe,Insane Clown Posse,Pop,Jugganauts,600
EzI6psdcyE,5,Die With A Smile,Bruno Mars| Lady Gaga,Rock,Die With A Smile,6
RDXRSUA19I,4,Lover,You Should've Come Over|Jeff Buckley,Rock,Grace,100
TEHqbHLFqx,1,Glorious,Macklemore,Pop,Single,300
6ue4Mbvoft,5,Fallout 76: Ring of Fire,Copilot Music + Sound| Spank,Country,Fallout 76,600
RDXRSUA19I,3,Bewitched,Laufey,Jazz,Bewitched,80
EzI6psdcyE,7,Emerald Star,Lord Huron,Folk,Vide Noir,400
6ue4Mbvoft,4,Till I Collapse,Eminem| Nate Dogg,Rap,The Eminem Show,700
TEHqbHLFqx,2,God Needs The Devil,Jonah Kagen,Country,Black Dress,270
EzI6psdcyE,10,The Night We Met,Lord Huron,Folk,Strange Trails,350
RDXRSUA19I,2,If I Ever Fall In Love again,Shai,Pop,If I Ever Fall In Love Again,40
6ue4Mbvoft,3,Clint Eastwood,Gorillaz| Del The Funky Homosapien,Rock,alt hip hop and electronica,700
8AxIDcHePL,2,I Turned 3rd life into a song,Evil Anvil,Pop,n/a,50
TEHqbHLFqx,3,Breathe,Olly Alexander,Alternative,Communion,200
ewMPQm7LCw,6,Bohemian Rhapsody,Queen,Rock,A Night at the Opera,85
RDXRSUA19I,1,Hush,The Marías,Alternative,CINEMA,30
6ue4Mbvoft,2,Give and Take,Poor Man's Poison,Country,In the End,800
EzI6psdcyE,6,Just The Way You Are,Bruno Mars,R&B,Doo-Wops and Hooligans,200
TEHqbHLFqx,4,Figure You Out,VOILA,Alternative,Single,150
ewMPQm7LCw,7,Don't Stop Believin',Journey,Rock,Escape,80
sIpTXaxH0i,3,NHH,Kanye West,Rap,NHH,150
ewMPQm7LCw,8,Hey There Delilah,Plain White T's,Pop,All That We Needed,60
TEHqbHLFqx,5,Can't Hold Us,Macklemore,Pop,The Heist,250
6ue4Mbvoft,1,UGA UGA BAM BAM,The Butcher Sisters,Metal,UGA UGA BAM BAM,800
TEHqbHLFqx,6,Thrift Shop,Macklemore,Pop,The Heist,250
8AxIDcHePL,3,A Little Theorizing,the stupendium,Rap,n/a,50
TEHqbHLFqx,7,Warriors,Imagine Dragons,Pop,Rock,150
ewMPQm7LCw,9,夜に駆ける,Yoasobi,Pop,The Book,30
TEHqbHLFqx,8,How It's Done,HUNTR/X,Pop,KPop Demon Hunters,80
sIpTXaxH0i,4,Runaway,Kanye West,R&B,My Beautiful Dark Twisted Fantasy,300
ewMPQm7LCw,10,You Are The Reason,Calum Scott,Pop,Only Human,40
TEHqbHLFqx,9,Devil in Disguise,Marino,Alternative,Single,120
